Path,Sample,MajorBasin,MinorBasin,Year,Number
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_217_sorted_proper_rmdup.bam,WAL_BYD_2015_217,WAL,BYD,2015,217
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_218_sorted_proper_rmdup.bam,WAL_BYD_2015_218,WAL,BYD,2015,218
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_219_sorted_proper_rmdup.bam,WAL_BYD_2015_219,WAL,BYD,2015,219
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_220_sorted_proper_rmdup.bam,WAL_BYD_2015_220,WAL,BYD,2015,220
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_221_sorted_proper_rmdup.bam,WAL_BYD_2015_221,WAL,BYD,2015,221
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_223_sorted_proper_rmdup.bam,WAL_BYD_2015_223,WAL,BYD,2015,223
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_224_sorted_proper_rmdup.bam,WAL_BYD_2015_224,WAL,BYD,2015,224
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_BYD_2015_225_sorted_proper_rmdup.bam,WAL_BYD_2015_225,WAL,BYD,2015,225
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_001_sorted_proper_rmdup.bam,WAL_LWF_2015_001,WAL,LWF,2015,001
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_002_sorted_proper_rmdup.bam,WAL_LWF_2015_002,WAL,LWF,2015,002
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_003_sorted_proper_rmdup.bam,WAL_LWF_2015_003,WAL,LWF,2015,003
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_004_sorted_proper_rmdup.bam,WAL_LWF_2015_004,WAL,LWF,2015,004
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_005_sorted_proper_rmdup.bam,WAL_LWF_2015_005,WAL,LWF,2015,005
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_006_sorted_proper_rmdup.bam,WAL_LWF_2015_006,WAL,LWF,2015,006
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_007_sorted_proper_rmdup.bam,WAL_LWF_2015_007,WAL,LWF,2015,007
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_008_sorted_proper_rmdup.bam,WAL_LWF_2015_008,WAL,LWF,2015,008
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_009_sorted_proper_rmdup.bam,WAL_LWF_2015_009,WAL,LWF,2015,009
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_LWF_2015_010_sorted_proper_rmdup.bam,WAL_LWF_2015_010,WAL,LWF,2015,010
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_001_sorted_proper_rmdup.bam,WAL_MIL_2015_001,WAL,MIL,2015,001
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_002_sorted_proper_rmdup.bam,WAL_MIL_2015_002,WAL,MIL,2015,002
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_003_sorted_proper_rmdup.bam,WAL_MIL_2015_003,WAL,MIL,2015,003
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_004_sorted_proper_rmdup.bam,WAL_MIL_2015_004,WAL,MIL,2015,004
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_005_sorted_proper_rmdup.bam,WAL_MIL_2015_005,WAL,MIL,2015,005
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_006_sorted_proper_rmdup.bam,WAL_MIL_2015_006,WAL,MIL,2015,006
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_007_sorted_proper_rmdup.bam,WAL_MIL_2015_007,WAL,MIL,2015,007
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_008_sorted_proper_rmdup.bam,WAL_MIL_2015_008,WAL,MIL,2015,008
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_009_sorted_proper_rmdup.bam,WAL_MIL_2015_009,WAL,MIL,2015,009
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_010_sorted_proper_rmdup.bam,WAL_MIL_2015_010,WAL,MIL,2015,010
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_011_sorted_proper_rmdup.bam,WAL_MIL_2015_011,WAL,MIL,2015,011
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_012_sorted_proper_rmdup.bam,WAL_MIL_2015_012,WAL,MIL,2015,012
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_013_sorted_proper_rmdup.bam,WAL_MIL_2015_013,WAL,MIL,2015,013
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_014_sorted_proper_rmdup.bam,WAL_MIL_2015_014,WAL,MIL,2015,014
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_015_sorted_proper_rmdup.bam,WAL_MIL_2015_015,WAL,MIL,2015,015
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_016_sorted_proper_rmdup.bam,WAL_MIL_2015_016,WAL,MIL,2015,016
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_017_sorted_proper_rmdup.bam,WAL_MIL_2015_017,WAL,MIL,2015,017
/home/amilzz/projects/LCT/SOMM371/align/RAD_alignments/sorted_proper/WAL_MIL_2015_018_sorted_proper_rmdup.bam,WAL_MIL_2015_018,WAL,MIL,2015,018
