Path,Sample,MajorBasin,MinorBasin,Year,Number
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_035_sorted_proper_rmdup.bam,WWH_WIL_2011_035,WWH,WIL,2011,035
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_037_sorted_proper_rmdup.bam,WWH_WIL_2011_037,WWH,WIL,2011,037
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_039_sorted_proper_rmdup.bam,WWH_WIL_2011_039,WWH,WIL,2011,039
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_040_sorted_proper_rmdup.bam,WWH_WIL_2011_040,WWH,WIL,2011,040
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_042_sorted_proper_rmdup.bam,WWH_WIL_2011_042,WWH,WIL,2011,042
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_046_sorted_proper_rmdup.bam,WWH_WIL_2011_046,WWH,WIL,2011,046
/home/amilzz/projects/LCT/SOMM371/bam/WWH_WIL_2011_047_sorted_proper_rmdup.bam,WWH_WIL_2011_047,WWH,WIL,2011,047
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_057_sorted_proper_rmdup.bam,YUB_MAC_2016_057,YUB,MAC,2016,057
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_058_sorted_proper_rmdup.bam,YUB_MAC_2016_058,YUB,MAC,2016,058
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_059_sorted_proper_rmdup.bam,YUB_MAC_2016_059,YUB,MAC,2016,059
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_060_sorted_proper_rmdup.bam,YUB_MAC_2016_060,YUB,MAC,2016,060
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_065_sorted_proper_rmdup.bam,YUB_MAC_2016_065,YUB,MAC,2016,065
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_069_sorted_proper_rmdup.bam,YUB_MAC_2016_069,YUB,MAC,2016,069
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_070_sorted_proper_rmdup.bam,YUB_MAC_2016_070,YUB,MAC,2016,070
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_072_sorted_proper_rmdup.bam,YUB_MAC_2016_072,YUB,MAC,2016,072
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_074_sorted_proper_rmdup.bam,YUB_MAC_2016_074,YUB,MAC,2016,074
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_076_sorted_proper_rmdup.bam,YUB_MAC_2016_076,YUB,MAC,2016,076
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_077_sorted_proper_rmdup.bam,YUB_MAC_2016_077,YUB,MAC,2016,077
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_078_sorted_proper_rmdup.bam,YUB_MAC_2016_078,YUB,MAC,2016,078
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_079_sorted_proper_rmdup.bam,YUB_MAC_2016_079,YUB,MAC,2016,079
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_083_sorted_proper_rmdup.bam,YUB_MAC_2016_083,YUB,MAC,2016,083
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_085_sorted_proper_rmdup.bam,YUB_MAC_2016_085,YUB,MAC,2016,085
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_086_sorted_proper_rmdup.bam,YUB_MAC_2016_086,YUB,MAC,2016,086
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_087_sorted_proper_rmdup.bam,YUB_MAC_2016_087,YUB,MAC,2016,087
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_088_sorted_proper_rmdup.bam,YUB_MAC_2016_088,YUB,MAC,2016,088
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_089_sorted_proper_rmdup.bam,YUB_MAC_2016_089,YUB,MAC,2016,089
/home/amilzz/projects/LCT/SOMM371/bam/YUB_MAC_2016_090_sorted_proper_rmdup.bam,YUB_MAC_2016_090,YUB,MAC,2016,090
